id,competition_id,home_team_id,away_team_id
60000000-0000-0000-0000-000000000002,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000001
60000000-0000-0000-0000-000000000004,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000003
60000000-0000-0000-0000-000000000005,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000001
60000000-0000-0000-0000-000000000006,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000003
60000000-0000-0000-0000-000000000007,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000005
60000000-0000-0000-0000-000000000008,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000002
60000000-0000-0000-0000-000000000009,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000001
60000000-0000-0000-0000-000000000010,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000003
60000000-0000-0000-0000-000000000011,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000003
60000000-0000-0000-0000-000000000012,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001
60000000-0000-0000-0000-000000000013,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000003
60000000-0000-0000-0000-000000000014,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000001
60000000-0000-0000-0000-000000000015,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000002
60000000-0000-0000-0000-000000000016,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000005
60000000-0000-0000-0000-000000000017,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000005
60000000-0000-0000-0000-000000000018,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000003
60000000-0000-0000-0000-000000000003,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000005
60000000-0000-0000-0000-000000000001,40000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000004